S:NO,Comment
36,"🔴 Thanks to India..! for the most Amazing, Mouthwatering, Tasty, Healthy, Full of flavours with blasting spices, with magical aroma, wich gives magical food satisfaction..!  ULTIMATE 👍👍👍👍👍"
37,Soooooooooo yummy 😋❤❤❤
38,All time favorite and easiest reciepe🫶🏻 Started doing this dish since 2018and still doing❤️ Thankyou so much!! Whole family loves this
39,Super Recipe
40,How much sugar do we add?
41,What cream is he talking about
42,dhank yu sör
43,"I&#39;ve tried it today, but the sauce was barely enough for 2 people while it should serve up to 5 people, what have I done wrong 😢?"
44,I&#39;m 9 years old and I know how to bake I&#39;m baking for my little brother and my little sister when and my mom want me to bake butter chicken so I will bake it now
45,"Feedback piece ( and this seems to be applicable to more and more such channels). When you present a recipe, likely to people that have never done it before, it will be helpful to have ingredients measurements. &quot;Some&quot; this, &quot;some&quot; that is not cutting it"
46,Most view recipe in the world😂
47,🙏🙏
48,"Tried this tonight. Great instructions, super easy. Not a fan of really hot but this was spot on (slight after taste kick - likely just above medium) - YUM YUM YUM. Thank you."
49,Can we use white vinegar instead of malt vinegar?
50,What oil ...is it mustard or refined oil that it should be cooked in??
51,Thank you so much for sharing this recipe. I&#39;m gonna try it!! Would you be so kind as to share your favorite brand for these spices available on Amazon? I see Rani and Pride of India are high rated but would love to hear from you pls. 😊 thank you so much
52,The only recipe where i have got a wow everywhere i make it.❤️ been following the same recipe for the past 6 years❤️❤️
53,Thank you chef! We are from Sri Lanka and butter chicken with parata is one of our family favourites😊. I always watch the video whenever I cook butter chicken. 👌🏽💯
54,Can i know the quantities for the ingredients. Thanks
55,Thank you so much.I made this following your recipe..and it was so yummy
56,Made it for my Father and my best friend: excellent!<br>Best butter chicken even cooked! <br>I owe you this one Sir!
57,Hindi bol be bas ki akk
58,which veniger?
59,Sir please give information about the ingredients so we can make a perfect butter chicken
60,Super good i will try this recipe soon thanks 🌹
61,this banged thank you so much
62,Mantequilla de Pollo
63,I live in USA so what kind of cream we can use ?
64,I wish this video was public so i could download the sound and have this ad my morning alarm
65,What can i use as a substitute of malt vinegar
66,Saala chup budbak ek dum chup 😂😂😂 langoor tho gahuu kaho 😂😂😂 bsdk
67,Is the spoonful of butter added to the unions also one of the 5 tbsp from the ingredientlist for the gravy? Or extra?
68,"Tbh, mouth just watered 🤤"
69,Made this yesterday and it&#39;s sooo goood! Greetings from Croatia
70,Best recipe So Far
71,You have no idea how many times I made this. It is one of the best things I can cook. Absolutely love it!
72,Thank you!! My wife and I followed this recipe because we wanted to try butter chicken (never had) and it was amazing such a great meal.
73,"i did less sugar, vinegar and chili powder but this was IT. 11/10"
74,"ABOSULOTLY DELICIOUS, 100% RECOMMEND"
75,Best butter chicken receipe on the net! X
76,I cooked and it turned out tasty
77,Very clear  your recipe
78,Thanks brother for your recipe
79,"My girls made a request for this dish. I used boneless skinless chicken thighs but I’ll try breast meat next time or maybe a bit of both. I don’t own a handheld immersion blender, so I used my nutribullet blender. I was pleased with the results, but I’ll probably invest in an immersion handheld blender now. Sadly my husband &amp; I can’t handle spice like my girls, so next time I’ll use half of the Kashmiri chili powder. I served w-naan &amp; basmati rice. This dish was a hit. Thank you bunches for making our Sunday dinner extra special."
80,Indian food is sooooo good
81,Well done chef. My son loves this recipe ❤❤❤❤
82,Amazing
83,That&#39;s not how to made it.
84,"Looks great, im gonna give it a go, what kind of cream?"
85,Dont you add cilantro at the end?
86,I think that you can speak Hindi be a indian?
87,Hi Varun I followed the written instructions in the description. But the recipe turned out way too sweet. The 4 tbsp of sugar mentioned is way too much. I&#39;d suggest just 1tbsp of sugar. Thanks.
88,"Wonderful recipe,just made it lat night and it turned out so good just like restaurant style . Made butter naan though to relish it with. Just amazing recipe. Easy nd tasty. Do try it guys👍"
89,what a penchod recipe
90,"I tried following this recipe but instead doubled everything as i wanted a larger portion. The butter chicken from this recipe tasted like sugar and vinegar. Disgusting! Barely edible.<br><br> Im not sure what i did wrong, as i followed both the video and recipe quantities in the description. I used measuring spoons for the spices and a scale for the tomatos and onions."
91,I see the original Butter Chicken does not contain onions in the gravy. So I guess this is a personal choice to go with it...
92,Vinegar made it sour (((
93,Can I make this without Cashews?
94,👌👌👌👌👌❤️❤️❤️
95,Best recipe in the Solar system except for the chicken that died...
96,Nice recipe.every1 loved it.thank u
97,How much water??
98,What cream are you using?
99,I tried this... and for the first time my dad said &quot;soooopperr&quot;.....<br>Thank you soo bro❤❤❤
100,Tere ko hindi nahi ati kya
101,I made it today for my 5 year old daughter.. she had the best of butter chicken of her life i guess. We too loved it. Simple yet delicious.. infact beats the restaurant style
102,Came out really well
103,I made it today this recipe came out really well🤩 thankuu
104,I made this and it was absolutely amazing
105,Thank u so much nice recipe butter chicken
106,Best butter chicken recipe <br>Same as restaurants!
107,I just need the recipe list
108,Thanks for the video. I like it. My question ;<br>Why we do strain the mixture and what happen if we don&#39;t. <br>What kind of cream is that from fresh milk or full cream milk ?
109,Love this recipe so much. This makes the most delicious butter chicken ever. Easy and flavour.
110,Literally the easiest and tastiest recipe! Solid 10/10 recommend 💛
111,Tried this recipe. It&#39;s easy and yum
112,Thank you Chef for the amazing recipe….I made it yesterday and it turned to be the delicious butter chicken I ever had
113,Can I marinate chicken for longer than 15-20 mins?? Can I do it overnight?
114,"can anyone whos made this recipe help me ㅜㅜ he says when the chicken is almost done to take it out of the pan. so i dont cook it all the way?? how do i know when to take it out of the pan? <br><br>I dont really cook, but i started learning recently and im scared of eating undercooked chicken but also dont want to overcook it haha."
115,taste like dog shit. not at all a good butter chicken
116,I made this today  ❤
117,Thanks for sharing this video- we made it yesterday and that too first time- never ate that delicious butter chicken
118,What are the quantity of these stuff
119,"I tried Butter chicken and it turned out to be amazing, Please check it out:<br><a href=""https://www.youtube.com/watch?v=LQzVL_Pr3s0"">https://www.youtube.com/watch?v=LQzVL_Pr3s0</a>"
120,"hazlo con crema de coco, que los tomates esten en trozos y sean muy rojos"
121,I have tried Butter Chicken in so many ways but NOTHING ever came close to your recipe. You Mr. Inamdar…you are a bloody genius….🫡
122,please someone give me all the necessary ingredients 😢✨🙌🙌
123,I made it but without straining the blended puree for some texture and the dish turned out really well
124,I used two tablespoons of chilli instead of teaspoons 😞
125,"Onion, tomato ,butter ,garam masala ,salt ,garlic ginger paste, chicken,red chilli powder,fresh cream,cashew nuts,sugar"
126,I&#39;ve never seen it made without yogurt or turmeric
127,"I made your recipe for the first time today, and it is divine! Definitely has that restaurant quality! Will be making it again!"
128,Can i use Amul Butter?
129,"This recipe is PHENOMENAL!! My wife and I are AVID Indian cuisine fans, and this butter chicken recipe gives high-end Indian restaurants a run for their money of this dish. This is our go-to cheat meal and it&#39;s worth every calorie. I found that I needed a lot more than just 3 tbsp of cream to achieve the &quot;creaminess&quot; represented in the video - we also double (or more) the chicken breast to fill the curry sauce up more! I highly recommend finding a good basmati rice, it pairs very nicely. Thank you for keeping your directions simple and easy to follow. I&#39;m never losing this recipe! Thank you again!"
130,"Udah buat enaaaak banget jadi nya, karena d toko sini ga ada parata, jadi beli canai aja dan tetep enak banget..makasih chef ilmu nya❤"
131,"I have never done a curry in my life and tonight was the first time. Never realised how easy it is and how delicious. Perfect recipe, the only different thing i did was to use chicken thighs as they are juicier.<br><br>Thanks for the video."
132,"And you will seek Me and find Me when you search for Me with all your heart. -Jeremiah 29:13<br><br>“For God so loved the world, that He gave His only Son, so that everyone who believes in Him will not perish, but have eternal life. -John 3:16<br><br>Repent therefore, and turn back, that your sins may be blotted out.<br>-Acts 3:19<br><br>  :)<br><br>      :)"
133,So happy to be able to make this at home. Yuuummmm!!
134,Easy and perfect receipe
135,Can i use whipping cream?
136,This is the best recipe
137,Can I used paneer instead of chicken ?
138,family favourite this one ❤️
139,No Audio 😢
140,"<a href=""https://www.youtube.com/watch?v=a03U45jFxOI&amp;t=0m10s"">0:10</a>"
141,"I made this for my 15 month old son and myself today and it was AMAZINGLY DELISH 😋 10/10 , although I didn&#39;t have cream I used milk instead"
142,I&#39;ve been using this recipe since it was posted. Everyone loves it in my family.
143,I made it today it was so delicious and creamy shahi type buttery flavor
144,so spicy so good
145,Insane this video has 43 million views now I used to use this video when it only had like 5k views but to see it blow up like this...man!!
146,Angrej ki aulad
147,HELP! The crushed methi added to the sauce...does it mean the leaves or the actual fenugreek seeds??? Thanks!
148,Abha tu angrajji sikha raha kaya😂
149,I made this tonight. It was so yum.<br>I think next time I’d use a mixer to blend it instead of the stick blender
150,Thank you so much bro❤❤❤❤❤
151,Yummy butter chicken thanks for share
152,My number one all time favourite recipe. It&#39;s exactly like the ones you get in restaurants ❤❤ Super easy to follow too
153,"I made this, and it turned out awesome. Finger lickin&#39; good."
154,I tried this dish once. Now i go every week to that indian restaurant to eat it. It is amazing the taste. I do not eat it spicy hot. I like tasting the flavors without burning my mouth.
155,Everything was good but my chicken was a little Chevy. Should I use smaller pieces instead of larger cubes
156,Can u use peanuts?
157,Too many tomatoes! It was too tangy and overpowered all the other flavors.
158,Am  having  family coming to lunch tomorrow am definitely going to cook this with basmati rice and  some roti
159,@mrnigelng should review this
160,Butter chicken boneless?😮
161,"Tried it and its not good at all, too sweet and not the BUTTER chicken ull want"
162,Is the “cream” yogurt or heavy cream?
163,I try this recipe with one butter chicken jar from the supermarket with coconut cream yumm... thanks for sharing ur recipe ❤
164,Looks amazing. I am definitely making this for my family
165,"Well done 👍<br>Stay blessed 😇<br>Looks v creamy and yummy 😋I am new here,stay connected"
166,❤
167,"No offence, but honestly your video does not deserve this many views."
168,My favourite recipe
169,"Amazing recipe, I made it twice already with paneer, and it came out just as the ones you eat in restaurants.<br>Everyone loves it. Thank you very much"
170,"Great Chef ! extremely simple home ingredients , no outside masala , turned out to be delicious , i added few curry leaves to the sauce."
171,I used greek yoghurt to marinate my chicken
172,I made this recipe this the best my whole family loved it and easy:D
173,Too much work smh..
174,This is very dangerous and ok 👍🏻
175,Hindustani hai hindi bolne mein sharam aati hai tujhe chef
176,That look nasty 🤮
177,"Just today first time I eat murgh maskalawa, and super delicious.. I want to cook like this.."
178,Made your video in hindi
179,Tamatar jasa chicken ke piece katt rakha hai
180,My chicken got very sweet I don’t know why though I followed the whole recipe 😢
181,I made this recipe today. It came out great and it was super fast and easy :D
182,That&#39;s absolutely very wonderful. I tried the same with paneer too and the results were awesome
183,Absolutely perfect recipe. Love it. Thanks
184,Thanku 🥰
185,Hey i want to make this for my family but my mom and sisters dont eat cashew and any other nut...what can i substitute with...
186,I&#39;m American and I enjoy butter chicken and garlic nann
187,What is Kasoori Methi ?
188,"Is this supposed to be very spicy? I love spicy food, but even I think its quite hot. My girlfriend can barely eat it. Anyone? Love the taste though, thank you for this recipe"
189,Such a beautiful recipe... I have tried many butter chicken recipes but this one went so dam tasty and perfect.. thank you for share this 🙏
190,Thank you so much for the recipe.<br>Thank you
191,Tnx
192,Since I started making butter chicken with your recipe it become one of my kid’s favourite dishes …appreciation from Pakistan
193,One of my favourite dishes now. Thanku brother
194,"I did it today, it was soooooo delicious and YUMMYY👍🏻👍🏻❤️❤️❤️❤️❤️❤️❤️"
195,Tried it and it was amazing. I added less sugar. Also after using the hand blender for a bit i put the mixture in the big blender and turned it into a paste. Didnt have to pass it through a sieve it was fine enough for me.
196,"Loved the recipe, better than the restaurants 🎉"
197,ched need to be aware of how much each ingradeints he is taking and should have in video. not just I take this. i
198,"I cooked this recipe, it turned out the best butter chicken i have ever made...i would suggest to char the tomatoes on flame and remove its skin and seeds before hand....this will save you from straining the entire gravy☺️😎"
199,"The recipe is amazing, but can we use any other viniger instead of the malt one?"
200,Can you use yogurt instead of cream?
201,How much tomotoe paste should i use
202,I tried it was delicious thk u
203,Now that the video is over I’ll try this recipe
204,Is it Healdy because it has a lot of salttt 😅
205,Im from Germany <br>My wife tried this dish with the same format man just whooooo🎉 Indian dish always special ❤🇮🇳
206,i used canned tomatoes so it had a strong tomato flavour. i think it will be better if I use regular old tomatoes
207,Hi im from srilanka whats Kasoori methi and at last what cream should we use
208,I’m a Filipino chef and I love this recipe so much.
209,Does the chicken cook in eight to ten minutes?
210,Just made it today. It was sooo testy. Thank you for the recipe
211,YOU ARE TRUELY A GREAT CHEF
212,What do we call kasuri methi in English?
213,Hand down the best and simple recipe for butter chicken!!! My 3 year old daughter is in love with this!!!
214,I&#39;ve seen a lot of butter chicken recipes use yogurt in the chicken marinade.  Is this not traditional for Indian butter chicken?
215,"Good recipe. I just made it, it was to perfection👌.  Thanks for sharing."
216,How much butter and cream
217,I&#39;ve been craving this for the past week. Lovely recipe🙏🏽
218,Hello there this seem well nice would this be good for 8 people and would it be the same way of cooking it ? Many thanks
219,National bakery Ashura butter chicken
220,"tried it today, super yummy. thanks!"
221,Everything is ok but it&#39;s too much sugar. I added 2 tablespoons and it&#39;s still too much. Maybe 1 or 2 TEAspoons are enough. Rest is perfect
222,"I tried this today, I prepared chicken for the first time, taste of gravy was nice but somehow my chicken became chewy. I don&#39;t know why so. Please reply to this"
223,Who all are watching are doing and eating but I am 😖
224,"The recipe in description is wrong...<br>4 TABLE SPOONS OF SUGAR?!<br>There is no sugar mentioned in the movie. I&#39;ve added 4 teaspoons, thinking you&#39;ve just got this wrong and i&#39;ve f***ed up my food, thanks!"
225,Butter chickennnnnn 🤤
226,"Surprising to see that you neglected to mention what part of chicken it is;  chicken breast, thighs, or chicken legs.  I have you a &quot;dislike&quot; for that."
227,Duff
228,What type is cream ?
229,"My mom have been sad for day because of her allergy from something that she eats and us making her eyes and lips swell up she had a test with something and doctor is saying to not eat anything that sweet , sour or anything like milk , eggs , meat and nearly every food she would eat but i think that not the problem so i have todsy decided to make her this recipe ill she how it goes today ill gonna make a feast for some days like all the delicious foods to see whats wrong if not i hope she like this recipe as she bought it idk why im like this as a 12 year old but i do know how to make good appetizing foods ❤"
230,How much water do you add? And what type of cream? Is it heavy whipping cream? Sour cream?
231,Absolutely delicious
232,But where have you used butter here??! Correct me if I am wrong! 😂😂
233,"I have made butter chicken a lot of times before...and every time it was like oh yeah it&#39;s good ..I was like man the cooking process was so intense..I don&#39;t deserve yeah it&#39;s good ...today I followed your recipe..marinated with dahi, mustard oil, little bit lemon..etc etc...some twist of mine...and damn everyone was like...oh god how&#39;s this that goooood.....nd your process was so simple...I loved it and could add my twist very easily...thank you so much...am not a chef...but yes...I am grateful to you eternally...please don&#39;t remove this video ever"
234,The easiest recipe tried yesterday it was so good but u can marinate ur chicken in tikkaaaa or any powder so it will be more tasty
235,Tried this recipe randomly and never went for other butter chicken recipes.
236,Delicious thank you stay blessed 🌹
237,Oil konsa h mustard or refined?
238,Hindi ma bolne me sharam aati ha kya
239,Bro you nailed it and I nailed it thank you for the recipe 🫡
240,What a recipe in
241,I’ve been making this recipe for 3.5 years- glad this video is still available 😊
242,Sooo good! Definitely recommend this. If you’re looking for medium spice cut the amount of chilli in half.
243,I made this chicken and it turned out to be sweet!! Don’t know why he has so many views!!
244,"Best recipe to use Leftover roti<br><a href=""https://youtube.com/shorts/WjsvNxm7NeA?feature=share"">https://youtube.com/shorts/WjsvNxm7NeA?feature=share</a>"
245,"Wow I try this form <a href=""https://youtu.be/OXJz4EaLZrM"">https://youtu.be/OXJz4EaLZrM</a> channel it&#39;s turn awesome .....tasty"
246,"perfect, ill try it for myself😄😋"
247,yumyum
248,"I work at a sports bar and we serve a butter chicken dish. It&#39;s an absolute travesty. Good Christ, it doesn&#39;t even have BUTTER in it!!"
249,👌👌
250,Made it and it was soo good 😋
251,"im a filipina and i love this dishes, so creamy and saucy and buttery. love indian food."
252,Itzzzz waaaaooo waooooo waoooo <br>Yummm yummm yummmm❤i made this for the first time my brother nd father said why didn&#39;t u madebit earlier it is so so 😋 tasty tq so much <br>U r awesome
253,The recipe I always rely on as it&#39;s such a simple way to make and affordable ingredients!! Love it
254,"For this one pot recipe, remember to use one mixing bowl, one bowl and one pan."
255,"The recipe calls for too much sugar, my dish ended up very sweet even though I added a little less sugar than instructed."
256,Why my Butter Chicken went daker than yours?
257,"I tried it and it was just wow! So rich, so creamy and too yumm!!"
258,How much water should I use?
259,Thank u
260,It is a good recipe .
261,How much water?
262,So good!! Staple at home
263,Alguien se sabe los ingredientes en español de México? Jeje gracias
264,I’ve made this several times now and I just wanted to thank you so much for this ❤ It’s amazing to be able to make delicious butter chicken at home. I’ve made it for guests many times and they love it too!
265,mine became too sugary
266,"I made this a few weeks ago, it was so delicious. My kids loved it, they said it was even better than the butter chicken they had in a restaurant. :) I only reduced the chili. They have been asking every second day when will I make this butter chicken again, and finally today is the day for it. Thank you very much for this recipe."
267,Nice bro. I&#39;m watching it from Kuwait ❤️❤️
268,blah authentic butter chicken doesn&#39;t use onions.
269,"Please let me know how to avoid the smell of cashew in the gravy? I have tried this recipe mamy times.its one of the easiest recipe of butter chicken and the best one. Iam making butter chicken for the third time with this recipe, plz let me know. May b my cashews were old. When i made a gravy there is some smell of cashews. How to remove it if anyone has idea."
270,Bahi Hindi me bolna tha.🥺
271,"Well, no that i have watched it, i am going to make"
272,One because it’s absolutely delicious and second——— 😂🤣😂🤣😂 me when I first spoke English
273,Very well done excellent chief
274,Yummy ❤
275,The sugar absolutely RUINS this dish. I’m going back to my original recipe.
276,Hi what&#39;s malt vinegar?
277,Bahot pasand aaya
278,Hotels here Kuwait is using this recipes so its really immaculate
279,Second time trying this recipe.<br>Came out great
280,😍😍
281,The food was shit
282,Thank you for such delicious recipe. My butter chicken now is to die for.
283,What creme should I use?
284,I just made this and it turned out absolutely amazing! Butter chicken is now my favorite dish!<br><br>Thank you for explaining everything so well and for making this recipe seem so easy!
285,I’m making this this weekend. Looks so delish!
286,Just made this and holy moly my friend!! It will forever be in the meal rotation from now on. I’ve been trying to find a reasonable butter chicken recipe and this is it!! My only regret is I didn’t eat more 🤤🤤
287,Good
288,I will try it ❤
289,I can&#39;t wait to cook this!!
290,Thank you very much for this great video!! <br>I added a little bit of Hing (3/4 tsp when I make it and I feel it really makes the difference  <br>Also I feel the need to day this dish will come out much better if you lightly toast the spices <br>Before adding to chicken (also never be scared to put another spice in if you like the flavor it adds to a dish)
291,It was so good
292,Delicious I love it!!
293,👌👌🌹🌹
294,"I made this recipe and it turned out to be one of the best recipe that i have ever tasted 😍😍<br>I tried so many recipe&#39;s taught by you... all are very easy to make and tastes awesome,<br>I also upload my all recipe videos on my YouTube channel ♥♥♥"
295,Looks so good my stomach&#39;s growling  (not even kidding).<br><br>And  I just ate.<br><br>Whew!
296,I have tried this recipe and it turned out great
297,Recipe of this dish
298,I just made this recipe n it’s delicious!!
299,By far the easiest and yummiest butter chicken recipe....thx chef for a simplified version....made it today and it turned out awesome
300,What the Cashew nut do in the dish and can i use other to replace it?
301,"Thank you for your recipe sir, im from philippines i love some  indian food samosa,biryani,butter chicken, and now i made this today, my 15months daughter love it very much❤️😍😍😍 and planning to make this on my family reunion ..<br>More power to your channel"
302,Sir I tried yesterday and it came out yummy and my family loved it a lot and I watch all ur recipes and I have tried it also came out really well and the way you cook is so simple that everyone will fall in love with your cooking thanks again sir for the wonderful recipe. it’s my favourite recipe also
303,"I recently tried out this recipe, and overall, the taste turned out to be quite good. However, my wife mentioned that it leans towards the sweeter side. I&#39;m curious to know if this level of sweetness is typical for this dish. Could you provide some insights on whether this is considered normal?"
304,Is this authentic recipe? I am trying it for the first time. Any indians know?
305,😋😋😋
306,This was perfect tutorial!! Thanks!
307,I made it today and my family loved it. Thank you for sharing such a wonderful recipe. Lots of love ❤️
308,I love butter chicken!<br>I made this at my home everyone loved it.<br>But when I started having it with some rice I couldn&#39;t eat it.<br>I don&#39;t know why my stomach felt full.
309,"👍<a href=""http://www.youtube.com/results?search_query=%23573k"">#573k</a><br><a href=""https://www.youtube.com/watch?v=a03U45jFxOI&amp;t=22m37s"">22:37</a><br>27-05-2023"
310,Butter chicken is one of my favorite food of all time
311,Everything fine but please be clear with measurements.❤
312,I made this today but my family did not like it but it&#39;s okay i liked it
313,This is a FANTASTIC  recipe.
314,What Should I replace if I don&#39;t want it spicy?
315,Is it Indian-style butter chicken?
316,Tried it today. And it tasted just perfect 👌
317,I miss this one brother I’m from Philippine brother
318,गांडू क्यों नॉन veg ko promote kr rahe ho
319,Superb...I made 8times like this way... it was amazing ❤❤
320,Sooo perfect🤤🤤🤤
321,"Hahaha I never thought I can’t make it without butter chicken masala and all those fancy masala packs from outside.  I am so impressed it turned out very good I am making it for my daughters classmates where sone kids have allergies so I had to be very careful.  I used this recipe without cashews but still turned out very very yummy!!!! <a href=""https://www.youtube.com/watch?v=a03U45jFxOI&amp;t=2m28s"">2:28</a>"
322,This recipe came out great! My family loved it. Very delicious! Thanks! 💝
323,I made this for dinner boy my whole family loved the dish it was incredible a super dish
324,What is kasuri mehti?
325,Can&#39;t i marinade the chicken in the oil? Or does this prevent the chicken fro soaking up the spices?
326,❤❤❤❤❤❤❤❤
327,"Hello, what is the dried herb you&#39;re adding at the end?"
328,Thank you  am Zambian 🇿🇲 but I love Indian food
329,"<a href=""https://youtu.be/pejzuqsmeFA"">https://youtu.be/pejzuqsmeFA</a>"
330,I can’t find the ingredients or written instructions help please
331,Please mention quantity  of each items for beginners like us
332,Sir aapki wife kahn h
333,Cream as in heavy cream sir?
334,What is the replacement for malt vinegar? I usually skip that step in the recipe because I don&#39;t have that and don&#39;t even know how it tastes like or what flavour it would bring to the dish. Can you please advice an alternative for malt vinegar?
335,"LOVE this recipe! Yum yum in my tum - making this again today!!! Thank you Varun. <br><br>I made it, it was SOOOO good! Making it again now 3 weeks later!"
336,अच्छा है बटर चिकन मैने बनाया 👍 बड्या है❤
337,"Excellent recipe! I&#39;ve made this a few times now. I&#39;ve played around with proportions of some of the ingredients but my favourite iteration is pretty close to the original recipe. I just add a bit more garam masala. What I like to do is make 4x the recipe but just the sauce/gravy and then I portion out and freeze the rest. It freezes really well. Then when I thaw out a batch, I marinade the chicken and cook it fresh instead of freezing the chicken with the sauce. It&#39;s a great way to have a restaurant quality meal that comes together as quickly as it takes to cook the rice."
338,"bhai g fat gayi khake, sexy hai bro, also guys this is what i did, i had no cream so i used thoda sa milk, okayish alternative but sexy taste ngl"
339,Mai ne life me first time try Kiya khana banana or ye first dish thi mere liye kyu k mummy ghr pr nhi thi .... Sb kuchh theek tha lekin last me mai ne garam garam gravy mixer me dal di thi jis ki wajah se mixer khul Gaya 😢..  or poori gravy mere uper or meri cousin k uper gir gayi ..😂😂😂😂. Finally butter chicken boht tasty bana  tha ..<br>Thank you 😂😂😂😂😂😂😂😅
340,I made it for the first time my guest just licked they fingers. Thanks
341,Great thx ❤
342,4 tbsp of sugar? Won’t it become sweet??
343,"Is it definitely meant to be 4 tablespoons of sugar? or 4 teaspoons? I added four tablespoons as the description said but it was way too sugary sweet, like a dessert!"
344,M from sri lanka...I made this dish it was soo delicious....thank you sir for the lovely dish your recipes are awesome ...
345,"Your &quot;T&quot; is too much, man!"
346,You mentioned garlic paste for the chicken but it’s not on the list
347,Can you make this recipe without malt vinegar?
348,Doesn’t it taste sugary. It sounds like a lot of sugar
349,"Everyone that have made it, doesn’t it taste sugary.. it sounds like a lot of sugar in this recipe"
350,I tried cooking this and it turned out so good 👍
351,I tried cooking this and it turned out so good 👍
352,Nice 👍
353,Tasty....
354,"This is very nice , this method is very easy"
355,"<a href=""https://youtu.be/VobDk2BDsJ4"">https://youtu.be/VobDk2BDsJ4</a>"
356,Nice
357,Delicious
358,I am making tonight 😊
359,Amazing
360,Yummy
361,Je voudrai bien avoir cette recette au thermomix
362,If you r looking for the best butter chicken stop for your search bcz u r right here..... believe me or not this is the bestttttt butter chicken i have ever had i tried it today itself....and i was shocked too i couldn&#39;t believe that I have made this loveddddddd it ....a must tryyy❤️
363,what are the ingredients please
364,Could I use tin tomato
365,"Butter chicken is weird. Indian inspired British food, and everyone EVERYONE loves it. Basic? Maybe, but like a cheeseburger is basic. Everyone still loves it 🤷"
366,Chef can someone  confirm once again.<br> its only garlic pastebor ginger garlic paste?<br>Is 4 tbsp of sugar ir right? Bca I tried it n it turned too sweet..
367,This is my go to recipe for Butter Chicken.. thank you so much for sharing this with the world..
368,Here i am again saying how much i love this recipe. Ive cooked this at least 5 times and its been great every single time
369,I tried this recipe..... It was made perfect n Delicious.... I have no word to say.... 1 no.... Chef thnq🤗
370,Easy food. Is this indian food? Turkish food is the best. More work on it
371,Please traduction en arabe
372,Man..... Damn..... Recipe..... Ur just amazing ❤❤
373,Watching in 2023❤
374,Brother....the way u teach is absolutely simple and easy..thanks
375,"Given this simple and wonderful recipe a shot and I guarantee you won&#39;t regret it. The best thing, for me, is that it&#39;s one of the rare recipes that doesn&#39;t use yogurt. Thanks 👍"
376,Couldn’t find the right kind of chilli powder ended up using cayenne but it was pretty damn hot lol still tasted awesome though! Next time try milder chilli powder lol
377,What if don&#39;t have Malt Vinegar?
378,I just made this recipe. Only used 1 tbsp sugar. Used 4 tbsp of cream .. and added 1 oz of diced green chiles and added 1/2 tsp turmeric. And only 1 tbsp red chili powder for the gravy. WOW. All the flavors were there.
379,4 tablespoons of sugar?? We sure? Seems a lot
380,Sooooo i just saw the recipe nd made it... it&#39;s so yummy nd easy recipe of butter chicken 🤤😋 thanks 😊
381,Which cream has been used in the last?
382,Great recipe
383,Wow it&#39;s Yummy 😋😋 It was delicious butter chicken 🍗😋😋
384,Aare madarchod Hindi bolne mai Gand fatt raha h anrej ka aulad😂😂😂
385,I feel like it’s missing a lot of ingredients. It’s been heavily Americanized.
